video_id,title,description,channel_title,likes,subscribers,comment_count,youtube_link
SrhQ0wWFg4Q,Qué es minería de datos? | Qué es?,"data #datamining #educacion Imagina un mundo en el que cada clic, cada ""me gusta"", cada comentario e incluso cada compra ...",Qué es ?,149,2260,6,https://www.youtube.com/watch?v=SrhQ0wWFg4Q
Kzs9bXRb_6A,Minería de Datos,Conoce la importancia de la minería de datos en la detección de fraudes en las empresas y las recomendaciones que los ...,Colegio de Contadores Públicos de México,5,38600,2,https://www.youtube.com/watch?v=Kzs9bXRb_6A
ohwfdAxWtIw,Minería de Datos en Redes Sociales,Las técnicas de Minería de Datos que debes usar dependiendo de la Data que tengas.,Jaime Huarsaya Rivera,6,10,2,https://www.youtube.com/watch?v=ohwfdAxWtIw
hyyWfuTG1TA,Minería de datos sobre streams de redes sociales,,Maria Romero,0,0,0,https://www.youtube.com/watch?v=hyyWfuTG1TA
qat9EBUzu74,Minería de datos en las redes sociales. Danna Valentina Jaramillo Zapata.,,Danna Valentina Jaramillo Zapata,2,0,0,https://www.youtube.com/watch?v=qat9EBUzu74
dgpyy1DU3sU,"Proyecto Uno, Análisis Redes Sociales, Minería de Datos.",El proyecto permite analizar gráficamente la interacción de un hashtag específico utilizado por los usuarios de una red social.,FRANCISCO ROMERO P.,0,0,0,https://www.youtube.com/watch?v=dgpyy1DU3sU
IDMoe3tuO2k,Open House:  Minería de Datos Aplicada a Redes Sociales,,udavinci,1,1590,0,https://www.youtube.com/watch?v=IDMoe3tuO2k
cEVKH7n3c-U,Implementación de la Minería de Datos,"Holaa, un placer tenerte por aquí. Espero te guste mi video.❤   Mis redes sociales Instagram: ...",Yeiry Núñez,2,1070,1,https://www.youtube.com/watch?v=cEVKH7n3c-U
QY09nSg-KBk,¿Qué es la minería de datos? - data mining,"En esta época mucha de la información que tenemos es digital, todos eso datos nos cuentan historias y nos dan a entender ...",MindMachineTV,2817,124000,58,https://www.youtube.com/watch?v=QY09nSg-KBk
Yps33oNfuuU,Minería de datos sobre streams de redes sociales Teresa Faena Nahmad,,Teresa Faena,0,0,0,https://www.youtube.com/watch?v=Yps33oNfuuU
Hvs0tDunSPI,"Minería de texto, opiniones, datos en redes sociales",CapCut I made this amazing video with CapCut. Open the link to try it out: capcut.com/tools/desktop-video-editor.,Sofi George,0,1,0,https://www.youtube.com/watch?v=Hvs0tDunSPI
ueAaIEr0PY4,¿Qué es Data Mining?,El reto de las empresas de hoy en día es extraer información a raíz de la gran cantidad de datos que recopilan de usuarios y ...,Computer Hoy,1977,455000,46,https://www.youtube.com/watch?v=ueAaIEr0PY4
7c3HpzalG0A,Minería de datos sobre streams de redes sociales,"Minería de datos sobre streams de redes sociales, una herramienta al servicio de la Bibliotecología.",Nicolas CorderoArana,0,0,0,https://www.youtube.com/watch?v=7c3HpzalG0A
q2hC6YqS4x8,Aplicación del Data Mining en Social Media,"Cápsula de Social Media Acatlán para #RetuitconGabyTlaseca: El Lic. Arturo Rocha, explica como la minería de datos puede ...",FES Acatlán,21,21300,0,https://www.youtube.com/watch?v=q2hC6YqS4x8
cpWRTYK16GY,"Lección 8  - Minería de datos, Machine learning, Deep learning, inteligencia artificial.",Apúntate gratis al primer curso masivo para Analista de Datos. . Curso Herramientas para el Business Intelligence - Lección ...,ESCUELA INTERNACIONAL DE INNOVACIÓN EMPRESARIAL,4,74,0,https://www.youtube.com/watch?v=cpWRTYK16GY
ogtclxKKHBs,MINERIA DE DATOS EN REDES SOCIALES SANTIAGO DELGADO,,Santiago Delgado,0,5,0,https://www.youtube.com/watch?v=ogtclxKKHBs
IU1DlNr_lnE,SEGMENTACIÓN DE MERCADOS USANDO TÉCNICAS DE MINERÍA DE DATOS EN REDES SOCIALES,,Lina Martínez García,0,0,0,https://www.youtube.com/watch?v=IU1DlNr_lnE
FNhKAhYRbl8,"Exposición en línea sobre Minería de texto, minería de opiniones y de datos sobre redes sociales",,Alexander Romero Díaz,0,16,0,https://www.youtube.com/watch?v=FNhKAhYRbl8
NR5fCHS6iEE,| Conferencia: Impacto de analizar datos masivos en Redes Sociales (Text Mining) |,Conferencia: Impacto de analizar datos masivos en Redes Sociales (Text Mining) |,Colegio de Ingenieros de Guatemala,2,3940,0,https://www.youtube.com/watch?v=NR5fCHS6iEE
uMgek-BytCg,"Minería de texto, opiniones, datos en redes sociales",,Yael Lozano,0,5,0,https://www.youtube.com/watch?v=uMgek-BytCg
985sQnBI5a0,Mineria de datos en redes sociales,,Elian Baron,0,12,0,https://www.youtube.com/watch?v=985sQnBI5a0
