created_at_utc,author_handle,post_text
2026-07-11 01:05:25+00:00,revistaraya.bsky.social,"El Tribunal Superior de Cali encontró culpable a Iván Aguirre de haber cometido los delitos de prevaricato y concusión en un viejo proceso judicial que se remonta a 2013, cuando Aguirre solicitó un soborno a una banda narcotraficante para beneficiar a sus integrantes."
2026-07-11 01:04:25+00:00,revistaraya.bsky.social,"“El fracking trae despojo, miseria y enfermedades”: indígena mapuche sobre proyecto extractivista en Argentina 
 RAYA habló con Lorena Maripe, lideresa mapuche de Vaca Muerta, en Argentina, uno de los mayores proyectos de hidrocarburos no convencionales del mundo."
2026-07-11 01:03:24+00:00,revistaraya.bsky.social,"La guerra cultural por el relato de Nación

A través de medios de comunicación, redes sociales, discursos religiosos, miedo y dinero, la derecha vuelve a construir al adversario progresista como un monstruo o un enemigo interno."
2026-07-11 01:02:25+00:00,revistaraya.bsky.social,"🔴 En la RAYA con Cecilia Orozco

""Es impresentable que De la Espriella mantenga la nacionalidad de EE.UU.""
Afirma internacionalista Arlene Tickner, ciudadana colombo norteamericana

Disponible en: 
YouTube: youtu.be/Bmj0LlnXa2s
Spotify: open.spotify.com/episode/5VyH..."
2026-07-11 00:56:27+00:00,revistaraya.bsky.social,"￼ #RAYAconversa con Paola Jaimes, economista de la U. de Massachusetts: ""El modelo de desarrollo que JP Morgan plantea en TIGRE busca crecer abaratando el trabajo""
Enlaces en el siguiente post

Youtube: youtu.be/fvomTOE_jEM
Spotify: open.spotify.com/episode/5NJi..."
2026-07-11 00:33:26+00:00,revistaraya.bsky.social,"La frase sobre ""destripar a la izquierda"", lejos de ser una metáfora, parece estar delineando la hoja de ruta de una administración que busca reconfigurar el poder no solo mediante la política pública, sino a través de la coerción institucional y el señalamiento."
2026-07-11 00:32:28+00:00,revistaraya.bsky.social,"Venezuela enfrenta una tragedia humanitaria con miles de muertos, daños millonarios y una soberanía cada vez más recortada.  El terremoto mostró quién manda sobre la caja, la ayuda y el futuro del país."
2026-07-11 00:26:28+00:00,revistaraya.bsky.social,El anuncio de Iván Cepeda de acudir a una eventual desobediencia civil pacífica abrió una controversia sobre los límites de la protesta política en Colombia. Esta figura se refiere a una forma pública y no violenta de rechazar decisiones consideradas injustas.
2026-07-11 00:14:31+00:00,revistaraya.bsky.social,"En una zona temporal de Putumayo, 99 integrantes del grupo ilegal Comandos de Frontera dejaron fusiles y uniformes mientras esperan saber qué va a pasar con el proceso de paz en el gobierno de Abelardo de la Espriella. Uno de ellos es Emmanuel, un joven que sueña con ser enfermero."
2026-07-10 23:48:28+00:00,revistaraya.bsky.social,"El ciudadano estadounidense y presidente electo Abelardo de la Espriella llega con el respaldo de Donald Trump, republicano y donante de campañas de Trump y de la senadora María Salazar, llega rodeado de figuras del trumpismo que ya inciden en su agenda migratoria, de seguridad y política exterior."
2026-07-10 23:44:42+00:00,revistaraya.bsky.social,"""La intelectualidad tiene su fundamento en el reconocimiento del otro, en entender que todos en sus esferas ideológicas tienen espacios de construcción, que al final del día y de esa discusión política, lo que queda en la mesa es el verdadero país."", Dumar A. Jaramillo-Hernández"
2026-07-10 23:32:40+00:00,revistaraya.bsky.social,"Las cifras sobre la producción de cocaína en Colombia eran erróneas, según nuevo informe de la ONU

El documento, al que tuvo acceso la revista RAYA, reconoce que la metodología usada para medir la producción potencial de cocaína tuvo imprecisiones que arrojaron una cifra inflada."
2026-07-10 23:24:28+00:00,revistaraya.bsky.social,"Carlos Alonso Lucio, jefe de empalme de De la Espriella, pagó cárcel tras ser condenado por falsa denuncia

Un contrato simulado, para fingir haber comprado un laboratorio fotográfico, fue el soporte que presentó Carlos Alonso Lucio en 1992 ante un banco con el fin de obtener un millonario crédito."
2026-07-10 23:05:22+00:00,revistaraya.bsky.social,"🚨AL AIRE #SeñalInvestigativa  Así fue la intromisión de Donald Trump en las elecciones presidenciales de Colombia. 

#AlAire por Señal Colombia y las redes sociales de la Revista RAYA.

Youtube: www.youtube.com/watch?v=RPN5...
Facebook: www.facebook.com/revistaRAYA/..."
2026-07-10 23:04:21+00:00,revistaraya.bsky.social,"🔴 En la RAYA con Cecilia Orozco

""Somos el 50% del país. No es lo mismo que con Álvaro Uribe""
Habla Carolina Corcho, próxima senadora del Pacto Histórico

#EnlaRayaCOT Disponible en: 

YouTube: youtu.be/JdqlOIKCdsA
Spotify: open.spotify.com/episode/4JuK...
Apple: podcasts.apple.com/co/podcast/e..."
2026-07-10 23:03:22+00:00,revistaraya.bsky.social,"Germán Calderón España, abogado de Abelardo de la Espriella, ha promovido durante años acciones judiciales contra periodistas y columnistas. Sin embargo, tiene su propio expediente: una condena de 36 meses de prisión domiciliaria por celebración de contrato sin cumplimiento de requisitos legales."
2026-07-10 23:02:22+00:00,revistaraya.bsky.social,"🗓️ DOMINGO 28 | Disponible desde las 8:00 a.m.
🔴 En la RAYA con Cecilia Orozco

""Somos el 50% del país. No es lo mismo que con Álvaro Uribe""
Habla Carolina Corcho, próxima senadora del Pacto Histórico

YouTube : youtube.com/playlist?lis..."
2026-07-10 23:00:23+00:00,revistaraya.bsky.social,"Tres enmiendas presentadas por Jesús “Chuy” García, Alexandria Ocasio-Cortez y Greg Casar buscan poner bajo lupa la cooperación militar con Colombia, evitar que recursos estadounidenses terminen beneficiando redes vinculadas con el paramilitarismo"
2026-07-10 22:36:23+00:00,revistaraya.bsky.social,"El futuro no está en los fósiles
Por: Andrés Gómez

¿Cómo hacer frente al agotamiento progresivo del modelo fósil? La respuesta es clara: administrar el declive de la mejor manera, fortaleciendo alternativas económicas y energéticas diversas."
2026-07-10 22:33:22+00:00,revistaraya.bsky.social,"El fascismo mira hacia Washington
Por Jaime Gómez 

¿Hasta dónde puede mantenerse la autonomía estratégica de un país cuando sus decisiones internacionales se subordinan voluntariamente a los intereses de otro Estado?"
2026-07-10 22:32:19+00:00,revistaraya.bsky.social,"Sancocho temporal
Por: Andrés Bateman

""Las formas del pasado que se resisten a desaparecer son conocidas en todo el país. Violencia como seguridad, persecución de la diferencia política, desprecio por la diversidad cultural, homofobia, misoginia y el medio ambiente como obstáculo para el bienestar"""
2026-07-10 22:20:23+00:00,revistaraya.bsky.social,"Un contrato simulado, para fingir haber comprado un laboratorio fotográfico, fue el soporte que presentó Carlos Alonso Lucio en 1992 ante un banco con el fin de obtener un millonario crédito.

www.revistaraya.com/carlos-alons..."
2026-07-10 21:54:23+00:00,revistaraya.bsky.social,"Las cifras sobre la producción de cocaína en Colombia eran erróneas, según nuevo informe de la ONU

El documento, al que tuvo acceso la revista RAYA, reconoce que la metodología usada para medir la producción potencial de cocaína tuvo imprecisiones que arrojaron una cifra inflada."
2026-07-10 21:42:24+00:00,revistaraya.bsky.social,"￼🔴#ATENCIÓN En #SeñalInvestigativa: La persecución y las amenazas del candidato Abelardo de la Espriella a la prensa colombiana. Habla el periodista Daniel Coronell quien denunció persecución en los espacios públicos que frecuenta.

📺 Al Aire por Señal Colombia y redes sociales de la Revista RAYA"
2026-07-10 21:36:40+00:00,revistaraya.bsky.social,"La promesa de un genocidio
Por: Migdalia Arcila

""En agosto de 2025 De la Espriella afirmó que “el estado de Israel, el primer ministro Netanyahu, está haciendo lo que tiene que hacer para defender a su pueblo, y es lo mismo que voy a hacer yo para Colombia. Cueste lo que cueste."", Migdalia Arcila"
2026-07-10 21:31:22+00:00,revistaraya.bsky.social,"🔴 En la RAYA con Cecilia Orozco 

Daniel Coronell: ""El tono de De la Espriella, antes de las elecciones, es supremamente grave""
Conversación con el periodista acosado por la campaña del candidato presidencial

Disponible en: 
YouTube: youtu.be/zbIOGuD_CgM
Spotify: open.spotify.com/episode/7j4Z..."
2026-07-10 21:30:22+00:00,revistaraya.bsky.social,"🚨 Un episodio en Piso 8, el programa digital conducido por Jhovanoty, terminó con una orden judicial en contra de De la Espriella por haber incurrido en un presunto acoso sexual en vivo. RAYA verificó que el candidato no ha cumplido la retractación y disculpa pública ordenadas por el juzgado."
2026-07-10 21:28:34+00:00,revistaraya.bsky.social,"Desde 2023 cuando De la Espriella juró lealtad absoluta a EE.UU ha amenazado a líderes políticos, ha propuesto negocios millonarios en defensa de un complejo militar-industrial en ese país y ha donado miles de dólares a políticos en La Florida. La pregunta es si puede gobernar sin ceder soberanía."
