author,text,likes,video_id
@YouTube,can confirm: he never gave us up,268428,dQw4w9WgXcQ
@SidCostello-m4s,When he said “desert you” I thought he meant “dessert you” and it made me hungry😭,0,dQw4w9WgXcQ
@tinacurlyq,Can someone explain what rickroll means? I’ve never heard that term and I loved this song back in the day 😊,1,dQw4w9WgXcQ
@jazzjosh4813,https://www.youtube.com/watch?v=dQw4w9WgXcQ,0,dQw4w9WgXcQ
@NoobMoons,A short lend me to this now I got ricked rolled,0,dQw4w9WgXcQ
@Yuki-g5s1x,https://youtu.be/dQw4w9WgXcQ?si=s_wjxR4sjapC2an3,0,dQw4w9WgXcQ
@victoriacarrillanca516,Nicole Miranda 💚🍀💙,0,dQw4w9WgXcQ
@jamesapplesword7846,A qr code in block blast gave me this,0,dQw4w9WgXcQ
@einnoralerob3347,"People who came here to actually listen to the song:











...",0,dQw4w9WgXcQ
@MishoGMD,y mi nitro gratis?,0,dQw4w9WgXcQ
@verugonzalez5701,I got this in a QR code 😭,0,dQw4w9WgXcQ
@ZildaBrito-d9q,Rick cantamuito lindamente música lindíssima ícone mundial só sucessos lindos voz lindíssima ❤❤❤❤🎉😮❤❤❤❤🎉😊❤,0,dQw4w9WgXcQ
@Fans-l9p,It reminds me of getting Rick rolled,0,dQw4w9WgXcQ
@RobinLucas27,"Vou contar quantas vezes sou rickrollado, agora fui 1 vez",0,dQw4w9WgXcQ
@laithharoun-o7l,damn it! i found the code on smg4,0,dQw4w9WgXcQ
@RobLocks-p9u,i just rickrolled ai xd,0,dQw4w9WgXcQ
@a8jj,جنود روس,0,dQw4w9WgXcQ
@Ilovecallofdutybo1,The views in this vid are crazy amounts,0,dQw4w9WgXcQ
@PatrickDickey0831,80's hit banger 💯💪🏾,0,dQw4w9WgXcQ
@Rick-xp5sy,Same time tomorrow 👍👍,1,dQw4w9WgXcQ
@あなたのお母さんは良い人です,Обожаю рекомендации ютуба,0,dQw4w9WgXcQ
@xjaix.0,I scanned this from a car and sent me to this 😭✌️,0,dQw4w9WgXcQ
@Neko-bit2827,Yes I got rickrolled but it opened on an ad,0,dQw4w9WgXcQ
@V1plushie_prime,i got sent here by colons site,0,dQw4w9WgXcQ
@bradleywillis935,Ordered a mouse and there was a barcode to here,0,dQw4w9WgXcQ
@CcartonGo,I must be the only one who clicked on the link,0,dQw4w9WgXcQ
@mamahuevodigoglugluglu,Alguien vino de un cu r,1,dQw4w9WgXcQ
@Justin-o3m1z,Getting rickrolled in 2026 is insanity,0,dQw4w9WgXcQ
@xxmicah148,I got rick roll from a game,0,dQw4w9WgXcQ
@urlocalkatiee,DUDE CHATGPT RICKROLLED ME-,0,dQw4w9WgXcQ
@Warriors_Gold,Клип вышел за 4 дня до моего рождения...😮,1,dQw4w9WgXcQ
@peropero_pu,I knew it. But can't resist.,1,dQw4w9WgXcQ
@MichelleSithole-d9w,A game brought  me here,0,dQw4w9WgXcQ
@jeongeun-s1s4s3,DAMN IT! I got Rick rolled 😭,0,dQw4w9WgXcQ
@candicephomin2994,July 2026 anyone?,42,dQw4w9WgXcQ
@JonahHowes,"Welp, it's time to rickroll my crush, wish me luck
👇",3,dQw4w9WgXcQ
@AglerPaxtor,I came from a babft video 💔,0,dQw4w9WgXcQ
@lilianaavila3243,When i was little i always thought he was Harry styles.😂😂,0,dQw4w9WgXcQ
@mayoandkebab,you got me gdcolon,0,dQw4w9WgXcQ
@emigamerLQYT,"2:40 MIGHTY EAGLEEEE🗣🗣🔥🔥
* falls off the mountain * 
Ahhhhhh",0,dQw4w9WgXcQ
@Bryce-u3x7q,i got here from a gta 4 mod,0,dQw4w9WgXcQ
@carolinefotheringham6029,Did anybody scam simji rug code? 😂,0,dQw4w9WgXcQ
@MaryMurphy-h6d,"❤❤❤❤ it's not your way ,but times have changed, and im gonna make sure we all get recognised  ! You will be very proud of me ! I promise! I dont lie,believe me ! Im the best!!!! Ireland first!❤❤❤❤!",1,dQw4w9WgXcQ
@007rcaito,That so old,0,dQw4w9WgXcQ
@al3xandra391,I just got rick rolled in the big 26😭🙏,0,dQw4w9WgXcQ
@Alissaaaaaa-c8e,Sent this to my friend. SHE BOUT TO BE RICKROLLED,1,dQw4w9WgXcQ
@Waldon-e3q,1.7 bn people rickrolled btw😔✌️,2,dQw4w9WgXcQ
@minnie3492,I was playing elm wood when I scan….,2,dQw4w9WgXcQ
@Mikołaj_pl_pl,https://youtube.com/shorts/Mhcrb-w_sqg?is=d5G3YIdieGTDWaR1,1,dQw4w9WgXcQ
@patientpoint3914,Nies song,0,dQw4w9WgXcQ
@petertheelyon-i1,This song is just on another level ❤❤❤,2,dQw4w9WgXcQ
@SubTo_Besterplayz,I just finished a video and it directly switched to this. YouTube rickrolled me,2,dQw4w9WgXcQ
@ezuvex,"This video tutorial is genuinely helpful - the valuable insights at 2:34 saved me time. But I noticed this isn't getting the views it deserves. Your helpful resources linked is solid, but the description SEO (title/tags/description) might be holding the algorithm back. I help creators fix exactly this - happy to share a quick audit if useful. DM me 'audit' and I'll take a look",0,dQw4w9WgXcQ
@ezuvex,"This video tutorial is genuinely helpful - the valuable insights at 2:34 saved me time. But I noticed this isn't getting the views it deserves. Your helpful resources linked is solid, but the description SEO (title/tags/description) might be holding the algorithm back. I help creators fix exactly this - happy to share a quick audit if useful. DM me 'audit' and I'll take a look",0,dQw4w9WgXcQ
@ToumaMusic,Damn youuu,0,dQw4w9WgXcQ
@AlderTrombley,Anyone else here from feodoric?,0,dQw4w9WgXcQ
@shric-shriccc134,I pranked my aunt with a qr code that broght hert to this,12,dQw4w9WgXcQ
@Martin-YTR,Disznótór himnusz,0,dQw4w9WgXcQ
@BrunoMendonça-j3j,"I don't know about you, but this song brings me good energy every time I listen to it. From Brazil 🇧🇷🫶🏻",1,dQw4w9WgXcQ
@Waterspriteisme,Yes I did just get rickrolled.,2,dQw4w9WgXcQ
@cmercado2025,THE DOD WIKI SENT ME HERE I THOUGHT THERE WAS LORE,3,dQw4w9WgXcQ
@abigailserwaalarbi3695,I’m looking for Zoey,1,dQw4w9WgXcQ
@makueiaz,i was rick rolled by the bob mod from fnf😭😭,0,dQw4w9WgXcQ
@divine_feezer,it takes a real legend for YouTube to even leave a comment on this video,2,dQw4w9WgXcQ
@divine_feezer,it takes a real legend for YouTube to even leave a comment on this video,0,dQw4w9WgXcQ
@NichtLuis,Got Rick Rollt in Animal crossing,0,dQw4w9WgXcQ
@Ceruledge_the_knight,Got Here Here because of an anymal Crossing code,0,dQw4w9WgXcQ
@apostolisfakes9420,Who came from mega chameleon 😂😂,1,dQw4w9WgXcQ
@LucaBazooka-l8o,Rickrolled,1,dQw4w9WgXcQ
@DellanMwangingure,Rickrolled,0,dQw4w9WgXcQ
@JaredtheRabbit,Some ASCII art just Rick Rolled me.,0,dQw4w9WgXcQ
